City,Name,Latitude,Longitude,Store Number,Street Combined,Postal Code,Country Subdivision,Country,Ownership Type,nearest_store_number,nearest_store_distance_km
Thousand Oaks,The Oaks Mall,34.18353271484375,-118.88736724853516,19684-200324,"350 West Hillcrest Drive, CL121",91360,CA,US,CO,28593-249827,0.2
Bellingham,Bellis Fair Mall,48.785282135009766,-122.48924255371094,19205-197725,"1 Bellis Fair Parkway, 3215",98226,WA,US,CO,354-241,1.3
Sicklerville,"Sicklerville, NJ",39.73506546020508,-75.00732421875,19574-199449,611 Berlin Cross Keys Rd.,08081,NJ,US,CO,76670-104493,1.8
Las Vegas,Elara @ Hilton Grand Vacations-Las,36.10811233520508,-115.1686782836914,18897-190187,80 E Harmon AVE,89109,NV,US,LS,75350-102512,0.2
Shavano Park,1604 & NW Military,29.599008560180664,-98.56278991699219,20133-180844,16852 NW Military Hwy,78231,TX,US,CO,76704-100231,3.4
Deptford,Deptford Mall,39.83143615722656,-75.09761810302734,20460-205804,"1750 Deptford Center Road, KI08",08096,NJ,US,CO,28522-249860,0.2
Vancouver,83rd & Mill Plain Blvd - Vancouver,45.623809814453125,-122.58720397949219,2938-186585,8302 E. Mill Plain Blvd,98664,WA,US,CO,74945-102655,1.3
Tulsa,41st & I-44,36.104026794433594,-95.91146087646484,19781-165486,"5730 East 41st South, Suite 100",74135,OK,US,CO,6797-78588,3.0
San Diego,Clairemont Mesa & Diane,32.834720611572266,-117.1873779296875,19802-200285,4798 Clairemont Mesa Blvd.,92117,CA,US,CO,76964-102974,1.6
Sacramento,16th & K - Sacramento,38.57734680175781,-121.4857406616211,20973-187684,1020 16th Street,95814,CA,US,CO,72205-28507,0.3
Norwich,"Norwich, CT",41.51154708862305,-72.1120834350586,19356-195704,88 Salem Turnpike,06360,CT,US,CO,73725-107088,3.5
Seattle,Northwest Hospital & Medical Ctr Lo,47.71405792236328,-122.33705139160156,19245-93994,1550 North 115th St,98133,WA,US,LS,3363-39519,0.7
