City,Name,Latitude,Longitude,Store Number,Street Combined,Postal Code,Country Subdivision,Country,Ownership Type,nearest_store_number,nearest_store_distance_km
Pittsfield,Carpenter Rd.,42.23716354370117,-83.68087005615234,13531-106377,3650 Carpenter Rd.,48104,MI,US,CO,18954-194328,0.2
Wilmette,1515 N. Sheridan - Wilmette,42.08649826049805,-87.70033264160156,224-119704,"1515 North Sheridan, Building 4",600911822,IL,US,CO,10453-101024,1.3
Sparks,S McCarran & E Greg St - Sparks,39.52065658569336,-119.74072265625,10913-101634,"1560 S. Stanford Way, Suite A",894316331,NV,US,CO,75361-102358,2.1
Yuba City,Hwy 20 & Tharp - Yuba City,39.14199447631836,-121.64456939697266,14071-108147,"1615 Colusa Hwy, Ste 100, Sutter Buttes Marketplace",959939437,CA,US,CO,6586-188144,0.6
OFallon,Greenmount & I-64,38.57329559326172,-89.93064880371094,14263-116745,1126 Central Park Drive,622691769,IL,US,CO,76924-127273,4.7
Metairie,Veterans Blvd & Kingman St,30.004295349121094,-90.18016052246094,11875-105707,4312 Veterans Blvd.,70006,LA,US,CO,17959-186644,2.2
San Luis Obispo,Higuera & Tank Farm,35.24550247192383,-120.67328643798828,14426-120264,3971 S. Higuera Street,934011580,CA,US,CO,15779-156022,1.5
Wheat Ridge,"50th and Kipling-Wheatridge, CO",39.786865234375,-105.110107421875,13822-108298,4975 Kipling St,800332340,CO,US,CO,76471-97424,0.2
Denver,Hampden & Dayton - Denver,39.65342330932617,-104.8729248046875,11034-104012,9925 East Hampden Ave,802314903,CO,US,CO,10114-93216,2.1
Fort Wayne,Dupont & Auburn,41.1783447265625,-85.11387634277344,13343-106747,2132 East Dupont Road,468251584,IN,US,CO,22895-223904,1.8
Danbury,Danbury Fair Mall,41.380027770996094,-73.48099517822266,14159-108196,"7 Backus Avenue, Danbury Fair Mall",068107422,CT,US,CO,28576-249788,0.4
Rockford,State & Bell,42.27070236206055,-88.9708480834961,13888-108514,7474 East State Street,611082644,IL,US,CO,24588-235927,1.5
Burr Ridge,Burr Ridge-I-55 & County Line Rd,41.75210189819336,-87.91291809082031,13442-106592,515 Village Center Dr.,605274516,IL,US,CO,11625-104858,2.7
Montgomery,Montgomery-Orchard & Rte 30,41.71916580200195,-88.37416076660156,13371-106590,2080 Orchard Rd.,605381059,IL,US,CO,9707-96114,5.4
Westminster,Crossroads Square,39.56288528442383,-76.97272491455078,14111-113348,"625R Baltimore Blvd., Crossroads Square",211576121,MD,US,CO,76724-101396,0.5
Branson,Sycamore & Main,36.64411163330078,-93.21574401855469,11520-103609,201 East Main Street,656162715,MO,US,CO,16524-162468,3.0
Kew Gardens,118-24 Queens Blvd,40.71437072753906,-73.83187866210938,11933-106885,118-24 Queens Blvd,11415,NY,US,CO,7349-910,1.3
Calhoun,Hwy 53 E & Richardson Rd,34.47349548339844,-84.92524719238281,13430-107460,605 Highway 53,307013919,GA,US,CO,79479-99189,32.3
Kyle,Hwy 1626 & I 35,30.01559066772461,-97.8635025024414,14349-113650,"5401 South FM 1626, Kyle Marketplace",786406038,TX,US,CO,5115-147310,2.8
Marana,Fry's #689 Marana,32.40660095214844,-111.2959976196289,73868-106710,12100 North Thorneydale Road,856584755,AZ,US,LS,74379-83392,15.4
Sahuarita,Fry's #679 Suahrita,31.960369110107422,-110.98628234863281,73867-106707,15950 South Rancho Sahuarita,856298010,AZ,US,LS,74331-82241,6.6
Selbyville,Harris Teeter-Selbyville #327,38.46995544433594,-75.11410522460938,73836-100578,31221 Americana Parkway,199753785,DE,US,LS,79396-97468,8.5
Dulles,Dulles Town Center - kiosk,39.03190612792969,-77.42396545410156,13930-113465,"21100 Dulles Town Circle, Dulles Town Center - kiosk",201662437,VA,US,CO,28376-249967,0.0
"Kent,",Fred Meyer - Redondo #215,47.3742561340332,-122.29883575439453,73843-108254,25250 Pacific Highway South,980326539,WA,US,LS,13729-108005,1.2
Newport Coast,Newport Coast & San Joaquin Hills,33.60823440551758,-117.827392578125,14156-112404,"21155 Newport Coast Drive, Newport Coast Shopping Center",926571123,CA,US,CO,74556-77464,0.1
Tarzana,Ventura Blvd & Shirley,34.17292785644531,-118.55706787109375,11779-106400,19439 Ventura Blvd,913563030,CA,US,CO,5487-1616,1.2
Crestwood,Watson & Old Sappington,38.557010650634766,-90.38116455078125,10745-113345,9590 Watson Road,631261515,MO,US,CO,2293-1624,3.2
Danville,Blackhawk & Camino Tassajara,37.800636291503906,-121.91958618164062,14226-95956,"4000 Blackhawk Plaza Circle, A1",945064654,CA,US,CO,634-381,0.3
Atlanta,I-285 @ Paces Ferry Rd,33.864898681640625,-84.47738647460938,11788-106442,2495 Cumberland Pkwy SE,303396132,GA,US,CO,28468-250063,1.7
Winter Garden,Winter Garden Village,28.521390914916992,-81.58797454833984,13877-105103,"3310 Daniels Rd, Suite 114",347877020,FL,US,CO,76819-111304,1.1
MacClenny,SR 228 & I-10,30.263973236083984,-82.10713195800781,13607-107499,9200 SR 228,32063,FL,US,CO,24133-235484,27.8
Tucson,Safeway - Tucson #1989,32.20691680908203,-110.78842163085938,79702-113972,9460 E Golf Links Rd,857301337,AZ,US,LS,8901-95251,0.2
Volo,Rte 12 & Hartigan - Volo,42.36311340332031,-88.16742706298828,14235-113424,2745 Hartigan Rd,600202128,IL,US,CO,2708-84040,8.2
Elizabeth,Jersey Gardens Mall,40.66065216064453,-74.17144775390625,14295-107071,"651 Kapkowski Road, 1456, Jersey Gardens",072014901,NJ,US,CO,75593-77287,3.8
Langhorne,Oxford Valley Mall,40.18416976928711,-74.8809814453125,13984-114625,"2300 E. Lincoln Hwy, 2046, Oxford Valley Mall",190471824,PA,US,CO,28537-249942,0.1
Manchester,"Manchester, Deming St.",41.81330871582031,-72.526611328125,10500-101168,172 Deming Street,060421728,CT,US,CO,28221-250111,1.7
Eagle,Albertsons -- Eagle #182,43.69264602661133,-116.35223388671875,73690-128388,250 South Eagle Rd,836165906,ID,US,LS,3236-1637,0.1
Middletown,Safeway - Middletown #1559,39.43878173828125,-77.5257568359375,79709-126864,815 E Main St,217697722,MD,US,LS,7618-32060,7.6
Novi,"Macy's-Novi, MI",42.49196243286133,-83.4710922241211,75470-106739,27550 Novi Road,483773418,MI,US,LS,2474-19519,0.1
Reynoldsburg,Limited Brands - Victoria's Secret,40.0543327331543,-82.89627838134766,75489-112624,4 Limited Pkwy,430685300,OH,US,LS,2630-59319,1.4
Cincinnati,Kroger-Cincinnati #948,39.14286422729492,-84.62272644042969,73876-103619,6165 Glenway Avenue,452116338,OH,US,LS,70353-138224,0.2
Memphis,MEM Pre Security B Ticketing,35.05194091796875,-89.98177337646484,78038-115427,2491 Winchester Rd,381163851,TN,US,LS,75802-97854,0.0
Lynnwood,QFC-W Lynwood #835,47.820499420166016,-122.33489990234375,72578-103051,7500-B 196th SW,980365090,WA,US,LS,3715-81300,1.3
Troy,Rochester & South Blvd,42.621742248535156,-83.12977600097656,14214-114270,6908 Rochester Road,480851292,MI,US,CO,79224-74327,1.4
Las Vegas,"Maryland & Windmill, Las Vegas",36.04175567626953,-115.13544464111328,13659-105635,"8150 S. Maryland Pkwy., D-1",891234107,NV,US,CO,74618-93366,1.5
Oklahoma City,Reno & Mickey Mantle at Bricktown,35.46364212036133,-97.50991821289062,10518-100464,"200 S Oklahoma, 100, 405",731042484,OK,US,CO,78095-116484,1.9
West Valley City,3500 South & 2700 West,40.696231842041016,-111.95838928222656,13989-108295,2727 West 3500 South,841193106,UT,US,CO,10473-101353,5.3
Richmond,Gaskins & Mayland,37.6413459777832,-77.57099914550781,14272-117365,3820A Gaskins RD,232331435,VA,US,CO,738-969,1.2
Waukesha,Moreland & Delafield,43.024593353271484,-88.24188995361328,9807-98204,801 W Moreland Blvd,531882971,WI,US,CO,3865-140229,4.3
Green Bay,South Military & West Mason,44.52396011352539,-88.06380462646484,13800-108215,615 S Military Ave,543032211,WI,US,CO,10624-101632,6.0
NAS Lemoore,NAS Lemoore-Reeves Blvd,36.300899505615234,-119.7824935913086,75442-107092,796 Reeves Blvd,932467500,CA,US,LS,10106-99404,0.7
Bowie,Safeway-Bowie #2713,38.965240478515625,-76.78968811035156,79696-97712,12410 Fairwood Prky,207206312,MD,US,LS,11688-95628,3.2
Providence,Johnson & Wales University-Providen,41.8193473815918,-71.41285705566406,78055-108693,59 Chestnut Street,029034114,RI,US,LS,13661-108524,0.6
Dallas,Lincoln Plaza Bon Appetit,32.784358978271484,-96.80014038085938,78062-115644,500 N. Akard St.,752013302,TX,US,LS,70003-103666,0.2
Fort Worth,Cook Children's Medical Center,32.73765182495117,-97.3411865234375,78074-107938,801 Seventh Avenue,761042733,TX,US,LS,14347-105739,0.5
Grapevine,Great Wolf Lodge @ Grapevine,32.94963455200195,-97.05428314208984,78019-107624,1400 East Highway 26,760513713,TX,US,LS,11944-105440,1.5
Wesley Chapel,Bruce B Downs Blvd & SR56,28.183353424072266,-82.35292053222656,13497-105286,1800 Bruce B Downs Blvd.,335448632,FL,US,CO,72660-64959,1.2
Asheville,Ingles-Asheville #7,35.59571075439453,-82.53545379638672,73885-132946,29 Tunnel Rd,288051229,NC,US,LS,8598-82600,1.2
Glen Ridge,Glen Ridge,40.79739761352539,-74.20121002197266,13383-104771,710 Bloomfield Ave.,070282332,NJ,US,CO,13856-108464,2.5
Silverton,Safeway - Silverton #1580,45.00330352783203,-122.79364013671875,79661-101963,301 Westfield St,973811936,OR,US,LS,79624-112845,15.3
Salem,Commercial & Oakhill - Salem,44.8997917175293,-123.03852081298828,14305-115144,3904 Commercial Street SE,973023837,OR,US,CO,72911-83342,0.8
Dallas,Coit & 635,32.92513656616211,-96.7700424194336,14144-111906,"7995 LBJ, Suite 114",75231,TX,US,CO,6721-75402,1.8
Sheboygan,14th & Erie,43.75602340698242,-87.723388671875,13991-108499,1026 North 14th Street,530813814,WI,US,CO,10480-100820,5.0
Littleton,Belleview & Prince- Littleton,39.62370681762695,-105.01922607421875,13490-98427,"2600 West Belleview Avenue, Suite #100",80123,CO,US,CO,18651-103417,0.6
Boise,Milwaukee & Overland- Boise,43.59000778198242,-116.28515625,13571-106831,8275 West Overland Rd.,837091637,ID,US,CO,3246-1600,1.6
Willowbrook,Willowbrook-Rte 83 & Plainfield,41.75918197631836,-87.9442367553711,11625-104858,7167 Route 83,60527,IL,US,CO,13442-106592,2.7
Chicago,Randolph & Morgan - West Loop,41.88460159301758,-87.65188598632812,14433-124124,946 W. Randolph St.,606072238,IL,US,CO,2527-32799,0.3
Hoffman Estates,Hoffman Estates-Barrington & Hassle,42.0614013671875,-88.14396667480469,13754-108020,2071 Barrington Rd.,601692023,IL,US,CO,75461-103858,1.0
Plano,Kroger-Plano #581,33.0388298034668,-96.73481750488281,73846-106201,2925 Custer Road,750752065,TX,US,LS,6404-33180,0.3
Virginia Beach,Target Virginia Beach East T-1047,36.846656799316406,-76.0218505859375,76823-108029,525 First Colonial Rd,234516119,VA,US,LS,11210-94781,0.7
Seattle,Westlake & Thomas - Seattle,47.62149429321289,-122.3381576538086,13915-105892,330 Westlake Ave N,981095218,WA,US,CO,15407-156113,0.2
Leavenworth,Safeway - Leavenworth #1589,47.596954345703125,-120.64727020263672,79685-106164,116 RIVERBEND DR.,988261360,WA,US,LS,3326-179884,0.9
Florida City,76 East Palm Drive,25.448217391967773,-80.47574615478516,13939-108784,76 East Palm Dr,330343507,FL,US,CO,9702-95196,3.8
Sebring,US 27 & Thunderbird,27.4995174407959,-81.48863983154297,13239-104281,1768 US 27 N.,338701921,FL,US,CO,11580-105345,52.1
Rio Rancho,"NM 528 and Rockaway, Rio Rancho",35.26002883911133,-106.63795471191406,13657-106849,115 State Highway 528 NE,871245979,NM,US,CO,11062-101739,4.2
Roseburg,Fred Meyer-Roseburg #281,43.22832489013672,-123.36842346191406,73839-96219,929 NW Garden Valley Rd,974711900,OR,US,LS,14304-116084,0.3
Kingsport,Target Kingsport T-2332,36.550933837890625,-82.49415588378906,76845-110955,2626 E Stone Dr,376605883,TN,US,LS,13504-104466,2.5
Cedar Park,Super Target Cedar Park ST-2342,30.52847671508789,-97.81341552734375,76811-110962,"1101 C-Bar Ranch Trail, Lot #2",78613,TX,US,LS,13816-111584,0.2
Frisco,Super Target Frisco North ST-2338,33.175254821777344,-96.84386444091797,76824-110963,4884 Eldorado Pkwy,75034,TX,US,LS,8816-93415,3.0
McKinney,Super Target McKinney ST-2335,33.21916198730469,-96.6329116821289,76817-110964,2025 N Central Expy,750702911,TX,US,LS,6416-36059,0.7
Longview,Target Longview T-2283,32.53399658203125,-94.72273254394531,76868-121844,"3092 N Eastman Rd, Ste 100",756057950,TX,US,LS,13727-107955,1.4
Austin,Super Target Austin Southpark ST-22,30.163772583007812,-97.79319763183594,76816-110959,"9500 S I-35, Feeder Rd Bldg G",787481752,TX,US,LS,10618-100981,0.5
Stafford,Target Stafford South T-2175,38.46904373168945,-77.40811157226562,76850-113070,53 Standstead Rd,22554,VA,US,LS,76136-87420,0.0
Richland,Target Richland T-2314,46.259037017822266,-119.31311798095703,76865-118484,2941 Queensgate Dr,993529101,WA,US,LS,14483-95010,0.3
Kent,180th & W Valley Hwy - Kent,47.44096374511719,-122.24417114257812,11665-88085,"18016 71st Ave. S., 101",980321025,WA,US,CO,3267-1860,1.3
Renton,Target Renton T-2290,47.496482849121094,-122.20035552978516,76859-111805,1215 Landing Way,980575521,WA,US,LS,74405-52023,2.1
Lake Geneva,Target Lake Geneva T-2348,42.598690032958984,-88.4134292602539,76846-111404,660 N Edwards Blvd,531474595,WI,US,LS,2338-3350,1.8
Scottsdale,Safeway - Scottsdale #1849,33.77938461303711,-111.92276000976562,79691-120705,32551 N Scottsdale Rd,852661515,AZ,US,LS,5979-39299,0.1
Ocala,SR 200 & SW 46th Ct,29.138660430908203,-82.19589233398438,13516-104847,4602 SW College Rd.,344745720,FL,US,CO,22186-212166,3.4
Callaway,Tyndall & 7th,30.16289520263672,-85.59050750732422,13317-103549,740 N Tyndall Pkwy,324043218,FL,US,CO,8732-83810,6.4
Stuart,Cove Rd & US Hwy 1,27.132373809814453,-80.20614624023438,13610-105966,5932 Southeast Federal Hwy,349977850,FL,US,CO,8867-93595,5.8
Buford,Hwy 20 & Gravel Springs Rd,34.07389450073242,-83.98479461669922,13945-111904,"3380 Buford Dr, Suite 300",305195709,GA,US,CO,28428-249725,0.5
Fort Richardson,Fort Richardson Frontier Theater,61.26210021972656,-149.6772003173828,75471-106357,"Frontier Theater, Building 2",99505,AK,US,LS,76943-129964,4.9
Walnut Creek,Target Walnut Creek T-1208,37.90457534790039,-122.06436157226562,76510-99355,1871 N Main St,945964106,CA,US,LS,21563-211784,0.3
Longmont,King Soopers - Longmont #80,40.15061569213867,-105.13368225097656,73844-102077,995 South Hover Street,805017908,CO,US,LS,6638-64283,0.4
Tampa,Target Tampa/Town & Country T-798,28.0278377532959,-82.5486831665039,76754-108136,6295 W  Waters Ave,336341100,FL,US,LS,8437-15873,0.9
Gainesville,University of Florida J Wayne Reitz,29.64618492126465,-82.34783935546875,75472-108544,686 Museum Drive,32611,FL,US,LS,75390-101183,0.3
Laurel,Target Laurel T-1007,39.094261169433594,-76.7896957397461,76543-95664,3343 Laurel Ft Meade Rd,20724,MD,US,LS,22988-217245,4.6
Battle Creek,McCamly Plaza Hotel-Battle Creek-Fo,42.318721771240234,-85.1844711303711,78014-103019,50 Capital Ave SW,490173515,MI,US,LS,10742-97942,6.3
Kalamazoo,Stadium & Drake,42.270355224609375,-85.64617156982422,11851-104637,4612 Stadium Drive,490081448,MI,US,CO,72716-117536,2.8
Jefferson City,HyVee Foods - Jefferson City,38.587860107421875,-92.25455474853516,73829-99893,3721 W Truman Blvd,651090536,MO,US,LS,76534-100207,3.6
Brick,Target Brick T-1153,40.0584716796875,-74.14968872070312,76752-108096,570 Rte. 70 West,087234014,NJ,US,LS,11533-104575,1.3
Oregon,"Kroger-Oregon, OH #938",41.63811111450195,-83.46978759765625,73845-119746,3301 Navarre Ave,436163313,OH,US,LS,75200-91001,11.9
Strongsville,Southpark Mall,41.30886459350586,-81.81999969482422,13960-88301,"500 Southpark Mall, 201, Southpark Mall",441369320,OH,US,CO,28620-249928,0.4
Portland,Bales Thriftway Cedar Mill,45.52580642700195,-122.80738830566406,73790-101210,12675 NW Cornell Rd,972295886,OR,US,LS,74426-93972,0.6
West Grove,Shoppes at Jenner's Village,39.823604583740234,-75.87478637695312,13269-106369,"35 Jenners Village Court, Shoppes at Jenner's Village",193908102,PA,US,CO,19208-197884,14.9
Myrtle Beach,Bay View Resort / Myrtle Beach / lo,33.687931060791016,-78.88362884521484,78018-111227,504 N Ocean Blvd,295773916,SC,US,LS,75591-78940,1.8
Bowling Green,Campbell & Hwy 31,36.96255874633789,-86.4660873413086,13758-108076,710 Campbell Lane,421041039,KY,US,CO,15957-157366,2.8
Lees Summit,Douglas & Tudor,38.932979583740234,-94.3792495727539,13654-107163,"1130 NE Douglas Street, Douglas Station",640864602,MO,US,CO,70367-138670,2.1
Lincoln,Lincoln-33rd & O,40.81380081176758,-96.6723861694336,10692-102130,3302 O Street,685101500,NE,US,CO,16920-176887,1.6
Lancaster,"Lancaster, North Memorial Drive",39.731483459472656,-82.61449432373047,13457-106689,"1626 N. Memorial Dr., A",431301631,OH,US,CO,79210-93002,3.5
Murfreesboro,Rutherford & Hwy 70,35.83225631713867,-86.35165405273438,13773-108477,2935 S Rutherford Blvd,371305977,TN,US,CO,3572-86323,2.1
Deer Park,Center & Pasadena,29.677732467651367,-95.12277221679688,13724-108180,3705 Center Street,775366103,TX,US,CO,22389-180846,1.7
Houston,I-45 & Monroe,29.66988754272461,-95.26201629638672,13478-107190,8515 Gulf Freeway,770175003,TX,US,CO,27535-247229,1.9
Kennewick,6607 W. Canal Drive,46.22631072998047,-119.21016693115234,13914-108406,"6607 West Canal Drive, A",993365077,WA,US,CO,3214-104550,1.2
Brunswick,Altama & Golden Isles Pkwy,31.202957153320312,-81.48287963867188,14136-106889,650 Glynn Isles,315252934,GA,US,CO,76798-108308,0.2
Springfield,Price Cutter - Springfield #18,37.22607421875,-93.25942993164062,73854-115887,1901 E Division St,658034516,MO,US,LS,18803-194325,2.1
Commack,"Commack, Crooked Hill",40.806365966796875,-73.28865051269531,2783-88801,125 Crooked Hill Road,117255429,NY,US,CO,27517-243605,0.5
Marina,Target Marina T-2306,36.667762756347656,-121.81083679199219,76835-107979,133 General Stilwell Dr,939336242,CA,US,LS,6707-76781,2.3
Tulare,Super Target Tulare ST-2349,36.22552490234375,-119.3153305053711,76813-111365,2195 E Prosperity Ave,932747754,CA,US,LS,6743-78586,1.4
Montrose,Target Montrose T-2343,38.445640563964844,-107.8676528930664,76854-111233,3530 Wolverine Dr,814014952,CO,US,LS,72588-103418,0.8
Edgewater,Target Edgewater T-2225,39.74636459350586,-105.05550384521484,76782-108571,1985 Sheridan Blvd,802141325,CO,US,LS,8758-94827,0.5
Torrington,Target Torrington T-2305,41.8210563659668,-73.07746124267578,76851-113958,1922 E Main St,067903101,CT,US,LS,7508-9452,17.8
Cape Coral,Super Target Cape Coral North ST-23,26.67047691345215,-81.93522644042969,76810-111305,1850 NE Pine Island Rd,339091733,FL,US,LS,11783-104279,0.2
Lutz,SuperTarget Lutz/North Tampa T-2118,28.173181533813477,-82.46997833251953,76806-98391,1040 Dale Mabry Hwy,335483004,FL,US,LS,8865-94499,3.3
Hialeah,Target Hialeah T-2109,25.85367774963379,-80.31755828857422,76833-98119,1750 W 37th St,330124687,FL,US,LS,8868-90582,2.8
RICHMOND,Target Richmond T-2337,37.639137268066406,-77.51190185546875,76866-116965,9001 STAPLES MILL RD,232282022,VA,US,LS,22590-221945,0.3
Waynesboro,Target Waynesboro T-2294,38.05806350708008,-78.94641876220703,76852-110745,811 Town Center Dr,229809262,VA,US,LS,9806-98422,1.1
Glen Allen,Target - Richmond NW T-1049,37.652034759521484,-77.60595703125,76861-116464,11290 W Broad St,230605815,VA,US,LS,13774-106170,0.9
Stuart,Target Stuart T-816,27.23378562927246,-80.26815032958984,76770-108133,2650 NW Federal Hwy,349949318,FL,US,LS,8864-93473,0.3
Tampa,Super Target Oldsmar (Tampa) T-2289,28.016033172607422,-82.61283874511719,76807-108137,11627 W Hillsborough Ave,336359736,FL,US,LS,8457-46799,3.5
Winter Garden,Super Target Winter Garden ST- 2264,28.519500732421875,-81.59889221191406,76819-111304,3343 Daniels Rd,347877009,FL,US,LS,13877-105103,1.1
Riverview,SuperTarget - Brandon South T-2235,27.895475387573242,-82.33342742919922,76772-108135,10290 Bloomingdale Ave,335783659,FL,US,LS,10235-112366,1.7
Atlanta,Target Atlanta T-2137,33.793209075927734,-84.39936828613281,76828-100233,375 18th St,303631190,GA,US,LS,75929-104746,0.2
Savannah,Target Savannah East T-2331,32.041629791259766,-81.06814575195312,76849-111226,1907 E Victory Dr,314043714,GA,US,LS,14467-117524,0.4
Marietta,Target Marietta T-2121,33.98533248901367,-84.42787170410156,76834-99485,1401 Johnson Ferry Rd,300626495,GA,US,LS,8260-140210,1.1
Romeoville,Target Romeoville T-2293,41.61155319213867,-88.12327575683594,76848-111384,349 S Weber Rd,604466530,IL,US,LS,13617-106904,0.1
Belleville,Target Belleville T-2330,38.511199951171875,-90.01460266113281,76860-116533,5601 Belleville Crossing St,622263104,IL,US,LS,76924-127273,7.2
Wareham,Target Wareham T-2292,41.777278900146484,-70.74724578857422,76837-98029,2421 Cranberry Hwy,025715021,MA,US,LS,14474-113249,13.0
Haverhill,Target Haverhill T-2325,42.786956787109375,-71.11583709716797,76864-117425,35 Computer Dr,018321236,MA,US,LS,11182-103899,2.5
Methuen,Target Methuen T-2287,42.74188232421875,-71.16007232666016,76855-111566,67 Pleasant Valley St,018447202,MA,US,LS,7570-16295,0.3
Montclair,Montclair - Church & South Park,40.814247131347656,-74.22007751464844,13856-108464,"40 South Park St, The Siena",070422716,NJ,US,CO,13383-104771,2.5
Pembroke Pines,Pembroke Lakes  Mall - First Level,26.010387420654297,-80.30390167236328,11614-103834,"11401 Pines Blvd., 844, Pembroke Lakes Mall",330264117,FL,US,CO,76219-93184,0.5
Plant City,Thonotosassa & I-4,28.025545120239258,-82.15117645263672,11254-103276,2701 Thonotosassa Rd.,335631456,FL,US,CO,10355-98749,14.8
New Port Richey,US 19 & Gulf Dr,28.23855972290039,-82.72820281982422,13368-106958,5435 US Hwy 19,346523949,FL,US,CO,14599-124265,6.0
McDonough,I-75 & Jonesboro Rd,33.46376037597656,-84.21871948242188,10267-95176,1865 Jonesboro Rd,302535914,GA,US,CO,72679-64284,0.4
Florence,Safeway - Florence #2835,33.062007904052734,-111.48583984375,79659-107241,3325 North Hunt Highway,851326894,AZ,US,LS,70318-136608,8.3
Diamond Bar,"Diamond Bar & Cold Spring, Diamond",33.97464370727539,-117.83767700195312,11224-103807,2837 Diamond Bar Blvd.,917653417,CA,US,CO,5582-1849,3.4
Fort Collins,Elizabeth & City Park-Fort Collins,40.57431411743164,-105.10051727294922,14104-107935,1335 West Elizabeth,805214517,CO,US,CO,3780-126767,1.2
Twin Falls,Blue Lake Blvd N & Filer Ave,42.57065963745117,-114.4608383178711,11959-105646,509 Blue Lakes Blvd  N.,833014034,ID,US,CO,76372-97080,2.2
Richmond,National & Elks,39.83128356933594,-84.84877014160156,13471-106334,3750 National Road East,473743643,IN,US,CO,2588-51399,36.8
Oakland,Kroger-Oakland #650,42.72623825073242,-83.19900512695312,72530-105077,4888 Adams Rd.,483061415,MI,US,LS,2690-63041,4.8
Redding,Churn Creek & Lancers - Redding,40.589683532714844,-122.35230255126953,11166-97892,"1240 Churn Creek Road, 100, Churn Creek Retail Center",960034008,CA,US,CO,23683-232506,0.6
Maple Grove,Super Target Maple Grove T-2193,45.1349983215332,-93.47660827636719,76808-99120,15300 Grove Circle N,553694469,MN,US,LS,17564-178944,1.6
Burnsville,Super Target Burnsville ST-2340,44.74886703491211,-93.28952026367188,76809-110952,810 County Rd 42W,553374492,MN,US,LS,23397-220084,0.5
Rochester,Super Target Rochester South ST-232,43.954166412353516,-92.46544647216797,76812-110951,4611 Maine Ave SE,559046929,MN,US,LS,28666-250117,5.7
Edina,Super Target Edina ST-2313,44.875816345214844,-93.32374572753906,76641-110944,7000 York Ave S,554354285,MN,US,LS,271-1488,0.2
Wentzville,Target Wentzville T-2345,38.82261276245117,-90.85338592529297,76856-110956,1883 Wentzville Pkwy,633853896,MO,US,LS,11052-101175,2.2
Charlotte,Target Charlotte Midtown T-2244,35.21505355834961,-80.83331298828125,76840-111225,900 Metropolitan Ave,282043177,NC,US,LS,75310-96262,1.3
Omaha,Super Target Omaha Far NW ST-2326,41.29158401489258,-96.18026733398438,76820-110953,16959 Evans Plaza,681162388,NE,US,LS,72964-94677,1.7
Syracuse,Target Camillus (Syracuse) T-2324,43.0463981628418,-76.23612976074219,76839-111891,3657 W Genesee St,132192003,NY,US,LS,11424-105354,5.8
Akron,Target Green (Akron) T-2346,40.98400115966797,-81.49321746826172,76844-111569,762 Arlington Rdg,443125216,OH,US,LS,9961-98933,1.0
Mentor,Target Mentor (Painesville) T-2322,41.68640899658203,-81.29315948486328,76858-111527,9669 Mentor Ave,440604528,OH,US,LS,2598-57259,1.2
Columbus,Target Columbus Far SW T-2358,39.954898834228516,-83.1260986328125,76841-111529,1970 Hililard Rome Rd,43228,OH,US,LS,79365-101769,2.6
Amherst,Target Amherst T-2351,41.41325378417969,-82.24080657958984,76838-111526,8000 Oak Point Rd,440019654,OH,US,LS,75576-69581,2.5
Grove City,Target Grove City T-2070,39.87736129760742,-83.03704833984375,76857-113949,4144 Buckeye Pkwy,431238175,OH,US,LS,10288-99990,0.4
Glen Mills,Target Concordville T-2172,39.88096237182617,-75.52757263183594,76830-98021,600 Hatton Dr,193423317,PA,US,LS,27778-248690,1.5
Ventura,Target Ventura West T-2398,34.26992416381836,-119.2490463256836,76891-127001,"245 S Mills Rd, Pacific View Mall",930033435,CA,US,LS,10855-102737,0.4
West covina,Target West Covina T-2147,34.03337478637695,-117.9120101928711,76893-102970,2370 S Azusa Ave,917921511,CA,US,LS,10226-98369,0.2
Estero,Super Target Coconut Point/Bonita S,26.40659523010254,-81.80604553222656,76869-127185,8040 Mediterranean Dr,339288304,FL,US,LS,9752-96115,0.4
Miami Gardens,Target Opa Locka/Miami Lakes T-2196,25.94029426574707,-80.291015625,76889-97603,5601 NW 183rd St,330552305,FL,US,LS,8866-95192,0.7
Davenport,Target NE Polk County T-2366,28.233196258544922,-81.64372253417969,76888-122708,5000 Grandview Pkwy,338372300,FL,US,LS,70344-139287,11.2
Flowery Branch,Target Flowery Branch T-2387,34.17750549316406,-83.9117202758789,76885-121748,5865 Spout Springs Rd,305423448,GA,US,LS,73973-132044,5.3
Easton,Target Easton T-2310,38.783485412597656,-76.08737182617188,76884-110744,28539 Marlboro Ave,216012752,MD,US,LS,79425-98315,2.9
Canton,Target Canton South T-2415,42.26963424682617,-83.50320434570312,76880-122184,47330 Michigan Ave,481882582,MI,US,LS,23882-231808,5.3
Pittsburgh,Target Harmar T-2385,40.52037811279297,-79.85258483886719,76886-121688,2261 Freeport Rd,152381403,PA,US,LS,72780-74422,2.3
Virginia Beach,Target Virginia Beach SE T-2396,36.755401611328125,-76.00963592529297,76892-128690,2233 Upton Dr,234541186,VA,US,LS,25701-237475,0.4
Coral Springs,Target Coral Springs NW T-2265,26.296951293945312,-80.25233459472656,76831-108131,9600  Westview Dr,330762514,FL,US,LS,8494-62181,2.8
Riverdale,Target Riverdale - T2247,40.9924201965332,-74.31237030029297,76836-95674,94 SR-23,07457,NJ,US,LS,14298-112284,2.5
Brooklyn,Target Brooklyn College,40.631263732910156,-73.9472427368164,76878-100172,2201 Nostrand Ave,112103036,NY,US,LS,9721-97945,0.2
